2025-09-14 00:34:34,493 | project_manager.api | INFO | wrapper:118 | ENTER data_manager_page - args: 0, kwargs: []
2025-09-14 00:34:34,498 | project_manager.api | INFO | wrapper:123 | EXIT data_manager_page - Success in 0.005s
2025-09-14 00:34:34,589 | project_manager.api | INFO | wrapper:118 | ENTER get_all_projects - args: 0, kwargs: []
2025-09-14 00:34:34,630 | project_manager.api | INFO | wrapper:123 | EXIT get_all_projects - Success in 0.042s
2025-09-14 00:34:34,635 | project_manager.api | INFO | wrapper:118 | ENTER api_schedule - args: 0, kwargs: []
2025-09-14 00:34:34,672 | project_manager.api | INFO | wrapper:123 | EXIT api_schedule - Success in 0.037s
2025-09-14 00:34:46,931 | project_manager.api | INFO | wrapper:118 | ENTER get_all_projects - args: 0, kwargs: []
2025-09-14 00:34:46,972 | project_manager.api | INFO | wrapper:123 | EXIT get_all_projects - Success in 0.041s
2025-09-14 00:34:46,976 | project_manager.api | INFO | wrapper:118 | ENTER api_schedule - args: 0, kwargs: []
2025-09-14 00:34:47,014 | project_manager.api | INFO | wrapper:123 | EXIT api_schedule - Success in 0.039s
2025-09-14 00:35:02,800 | project_manager.api | INFO | wrapper:118 | ENTER get_all_projects - args: 0, kwargs: []
2025-09-14 00:35:02,841 | project_manager.api | INFO | wrapper:123 | EXIT get_all_projects - Success in 0.041s
2025-09-14 00:35:02,844 | project_manager.api | INFO | wrapper:118 | ENTER api_schedule - args: 0, kwargs: []
2025-09-14 00:35:02,885 | project_manager.api | INFO | wrapper:123 | EXIT api_schedule - Success in 0.040s
2025-09-14 00:38:04,266 | project_manager.api | INFO | wrapper:118 | ENTER data_manager_page - args: 0, kwargs: []
2025-09-14 00:38:04,270 | project_manager.api | INFO | wrapper:123 | EXIT data_manager_page - Success in 0.005s
2025-09-14 00:38:04,375 | project_manager.api | INFO | wrapper:118 | ENTER get_all_projects - args: 0, kwargs: []
2025-09-14 00:38:04,419 | project_manager.api | INFO | wrapper:123 | EXIT get_all_projects - Success in 0.044s
2025-09-14 00:38:04,423 | project_manager.api | INFO | wrapper:118 | ENTER api_schedule - args: 0, kwargs: []
2025-09-14 00:38:04,460 | project_manager.api | INFO | wrapper:123 | EXIT api_schedule - Success in 0.037s
2025-09-14 00:38:16,835 | project_manager.api | INFO | wrapper:118 | ENTER get_all_projects - args: 0, kwargs: []
2025-09-14 00:38:16,875 | project_manager.api | INFO | wrapper:123 | EXIT get_all_projects - Success in 0.040s
2025-09-14 00:38:16,878 | project_manager.api | INFO | wrapper:118 | ENTER api_schedule - args: 0, kwargs: []
2025-09-14 00:38:16,915 | project_manager.api | INFO | wrapper:123 | EXIT api_schedule - Success in 0.037s
