2025-09-14 00:34:34,629 | project_manager.database | INFO | get_all_projects:237 | Fetched 140 project records
2025-09-14 00:34:34,671 | project_manager.database | INFO | api_schedule:365 | Fetched 34 schedule records
2025-09-14 00:34:44,297 | project_manager.database | INFO | import_excel_to_db:630 | Cleared all existing data from tables
2025-09-14 00:34:44,313 | project_manager.database | DEBUG | process_division_enhanced:664 | Inserted project: BIA01
2025-09-14 00:34:44,380 | project_manager.database | DEBUG | process_division_enhanced:664 | Inserted project: BIA02
2025-09-14 00:34:44,453 | project_manager.database | DEBUG | process_division_enhanced:664 | Inserted project: BIA03
2025-09-14 00:34:44,525 | project_manager.database | DEBUG | process_division_enhanced:664 | Inserted project: BIA04
2025-09-14 00:34:44,597 | project_manager.database | DEBUG | process_division_enhanced:664 | Inserted project: BIA05
2025-09-14 00:34:44,694 | project_manager.database | DEBUG | process_division_enhanced:664 | Inserted project: BIA06
2025-09-14 00:34:44,774 | project_manager.database | DEBUG | process_division_enhanced:664 | Inserted project: BIA07
2025-09-14 00:34:44,848 | project_manager.database | DEBUG | process_division_enhanced:664 | Inserted project: BIA08
2025-09-14 00:34:44,928 | project_manager.database | DEBUG | process_division_enhanced:664 | Inserted project: BIA09
2025-09-14 00:34:45,025 | project_manager.database | DEBUG | process_division_enhanced:664 | Inserted project: BIA10
2025-09-14 00:34:45,121 | project_manager.database | DEBUG | process_division_enhanced:664 | Inserted project: BIA11
2025-09-14 00:34:45,195 | project_manager.database | DEBUG | process_division_enhanced:664 | Inserted project: BIA12
2025-09-14 00:34:45,262 | project_manager.database | DEBUG | process_division_enhanced:664 | Inserted project: BIA13
2025-09-14 00:34:45,330 | project_manager.database | DEBUG | process_division_enhanced:664 | Inserted project: BIA14
2025-09-14 00:34:45,412 | project_manager.database | DEBUG | process_division_enhanced:664 | Inserted project: BIA15
2025-09-14 00:34:45,474 | project_manager.database | DEBUG | process_division_enhanced:664 | Inserted project: BIA16
2025-09-14 00:34:45,553 | project_manager.database | DEBUG | process_division_enhanced:664 | Inserted project: BIA17
2025-09-14 00:34:45,633 | project_manager.database | DEBUG | process_division_enhanced:664 | Inserted project: BIB01
2025-09-14 00:34:45,707 | project_manager.database | DEBUG | process_division_enhanced:664 | Inserted project: BIB02
2025-09-14 00:34:45,790 | project_manager.database | DEBUG | process_division_enhanced:664 | Inserted project: BIB03
2025-09-14 00:34:45,881 | project_manager.database | DEBUG | process_division_enhanced:664 | Inserted project: BIB04
2025-09-14 00:34:45,957 | project_manager.database | DEBUG | process_division_enhanced:664 | Inserted project: BIB05
2025-09-14 00:34:46,029 | project_manager.database | DEBUG | process_division_enhanced:664 | Inserted project: BIB06
2025-09-14 00:34:46,100 | project_manager.database | DEBUG | process_division_enhanced:664 | Inserted project: BIB07
2025-09-14 00:34:46,173 | project_manager.database | DEBUG | process_division_enhanced:664 | Inserted project: BIB08
2025-09-14 00:34:46,242 | project_manager.database | DEBUG | process_division_enhanced:664 | Inserted project: BIB09
2025-09-14 00:34:46,314 | project_manager.database | DEBUG | process_division_enhanced:664 | Inserted project: BIB10
2025-09-14 00:34:46,398 | project_manager.database | DEBUG | process_division_enhanced:664 | Inserted project: BIB11
2025-09-14 00:34:46,470 | project_manager.database | DEBUG | process_division_enhanced:664 | Inserted project: BIB12
2025-09-14 00:34:46,544 | project_manager.database | DEBUG | process_division_enhanced:664 | Inserted project: BIB13
2025-09-14 00:34:46,614 | project_manager.database | DEBUG | process_division_enhanced:664 | Inserted project: BIB14
2025-09-14 00:34:46,693 | project_manager.database | DEBUG | process_division_enhanced:664 | Inserted project: BIB15
2025-09-14 00:34:46,770 | project_manager.database | DEBUG | process_division_enhanced:664 | Inserted project: BIB16
2025-09-14 00:34:46,854 | project_manager.database | DEBUG | process_division_enhanced:664 | Inserted project: BIB17
2025-09-14 00:34:46,971 | project_manager.database | INFO | get_all_projects:237 | Fetched 140 project records
2025-09-14 00:34:47,013 | project_manager.database | INFO | api_schedule:365 | Fetched 34 schedule records
2025-09-14 00:35:00,390 | project_manager.database | INFO | import_excel_to_db:630 | Cleared all existing data from tables
2025-09-14 00:35:00,402 | project_manager.database | DEBUG | process_division_enhanced:664 | Inserted project: BIA01
2025-09-14 00:35:00,466 | project_manager.database | DEBUG | process_division_enhanced:664 | Inserted project: BIA02
2025-09-14 00:35:00,532 | project_manager.database | DEBUG | process_division_enhanced:664 | Inserted project: BIA03
2025-09-14 00:35:00,598 | project_manager.database | DEBUG | process_division_enhanced:664 | Inserted project: BIA04
2025-09-14 00:35:00,652 | project_manager.database | DEBUG | process_division_enhanced:664 | Inserted project: BIA05
2025-09-14 00:35:00,721 | project_manager.database | DEBUG | process_division_enhanced:664 | Inserted project: BIA06
2025-09-14 00:35:00,781 | project_manager.database | DEBUG | process_division_enhanced:664 | Inserted project: BIA07
2025-09-14 00:35:00,837 | project_manager.database | DEBUG | process_division_enhanced:664 | Inserted project: BIA08
2025-09-14 00:35:00,896 | project_manager.database | DEBUG | process_division_enhanced:664 | Inserted project: BIA09
2025-09-14 00:35:00,997 | project_manager.database | DEBUG | process_division_enhanced:664 | Inserted project: BIA10
2025-09-14 00:35:01,105 | project_manager.database | DEBUG | process_division_enhanced:664 | Inserted project: BIA11
2025-09-14 00:35:01,191 | project_manager.database | DEBUG | process_division_enhanced:664 | Inserted project: BIA12
2025-09-14 00:35:01,258 | project_manager.database | DEBUG | process_division_enhanced:664 | Inserted project: BIA13
2025-09-14 00:35:01,313 | project_manager.database | DEBUG | process_division_enhanced:664 | Inserted project: BIA14
2025-09-14 00:35:01,382 | project_manager.database | DEBUG | process_division_enhanced:664 | Inserted project: BIA15
2025-09-14 00:35:01,437 | project_manager.database | DEBUG | process_division_enhanced:664 | Inserted project: BIA16
2025-09-14 00:35:01,497 | project_manager.database | DEBUG | process_division_enhanced:664 | Inserted project: BIA17
2025-09-14 00:35:01,553 | project_manager.database | DEBUG | process_division_enhanced:664 | Inserted project: BIB01
2025-09-14 00:35:01,612 | project_manager.database | DEBUG | process_division_enhanced:664 | Inserted project: BIB02
2025-09-14 00:35:01,676 | project_manager.database | DEBUG | process_division_enhanced:664 | Inserted project: BIB03
2025-09-14 00:35:01,742 | project_manager.database | DEBUG | process_division_enhanced:664 | Inserted project: BIB04
2025-09-14 00:35:01,801 | project_manager.database | DEBUG | process_division_enhanced:664 | Inserted project: BIB05
2025-09-14 00:35:01,871 | project_manager.database | DEBUG | process_division_enhanced:664 | Inserted project: BIB06
2025-09-14 00:35:01,966 | project_manager.database | DEBUG | process_division_enhanced:664 | Inserted project: BIB07
2025-09-14 00:35:02,041 | project_manager.database | DEBUG | process_division_enhanced:664 | Inserted project: BIB08
2025-09-14 00:35:02,107 | project_manager.database | DEBUG | process_division_enhanced:664 | Inserted project: BIB09
2025-09-14 00:35:02,179 | project_manager.database | DEBUG | process_division_enhanced:664 | Inserted project: BIB10
2025-09-14 00:35:02,251 | project_manager.database | DEBUG | process_division_enhanced:664 | Inserted project: BIB11
2025-09-14 00:35:02,330 | project_manager.database | DEBUG | process_division_enhanced:664 | Inserted project: BIB12
2025-09-14 00:35:02,409 | project_manager.database | DEBUG | process_division_enhanced:664 | Inserted project: BIB13
2025-09-14 00:35:02,487 | project_manager.database | DEBUG | process_division_enhanced:664 | Inserted project: BIB14
2025-09-14 00:35:02,574 | project_manager.database | DEBUG | process_division_enhanced:664 | Inserted project: BIB15
2025-09-14 00:35:02,653 | project_manager.database | DEBUG | process_division_enhanced:664 | Inserted project: BIB16
2025-09-14 00:35:02,732 | project_manager.database | DEBUG | process_division_enhanced:664 | Inserted project: BIB17
2025-09-14 00:35:02,840 | project_manager.database | INFO | get_all_projects:237 | Fetched 140 project records
2025-09-14 00:35:02,884 | project_manager.database | INFO | api_schedule:365 | Fetched 34 schedule records
2025-09-14 00:38:04,417 | project_manager.database | INFO | get_all_projects:237 | Fetched 140 project records
2025-09-14 00:38:04,460 | project_manager.database | INFO | api_schedule:365 | Fetched 34 schedule records
2025-09-14 00:38:14,537 | project_manager.database | INFO | import_excel_to_db:615 | Cleared all existing data from tables
2025-09-14 00:38:14,549 | project_manager.database | DEBUG | process_division_enhanced:649 | Inserted project: BIA01
2025-09-14 00:38:14,605 | project_manager.database | DEBUG | process_division_enhanced:649 | Inserted project: BIA02
2025-09-14 00:38:14,674 | project_manager.database | DEBUG | process_division_enhanced:649 | Inserted project: BIA03
2025-09-14 00:38:14,745 | project_manager.database | DEBUG | process_division_enhanced:649 | Inserted project: BIA04
2025-09-14 00:38:14,805 | project_manager.database | DEBUG | process_division_enhanced:649 | Inserted project: BIA05
