2025-09-14 00:34:44,136 | project_manager.excel | INFO | wrapper:118 | ENTER import_excel_to_db - args: 0, kwargs: []
2025-09-14 00:34:44,137 | project_manager.excel | INFO | import_excel_to_db:585 | Starting Excel import process
2025-09-14 00:34:44,196 | project_manager.excel | INFO | import_excel_to_db:590 | Available sheets: ['FINAL  DIV A', 'FINAL  DIV B', 'SCHEDULE']
2025-09-14 00:34:44,197 | project_manager.excel | INFO | import_excel_to_db:601 | Found Division A sheet: FINAL  DIV A
2025-09-14 00:34:44,197 | project_manager.excel | INFO | import_excel_to_db:604 | Found Division B sheet: FINAL  DIV B
2025-09-14 00:34:44,197 | project_manager.excel | INFO | import_excel_to_db:607 | Found Schedule sheet: SCHEDULE
2025-09-14 00:34:44,216 | project_manager.excel | INFO | import_excel_to_db:619 | Schedule sheet columns: ['Unnamed: 0', 'Track', 'Name of the Panel', 'Group ID', 'Unnamed: 4', 'Unnamed: 5', 'Unnamed: 6', 'Unnamed: 7', 'Location']
2025-09-14 00:34:44,216 | project_manager.excel | INFO | import_excel_to_db:620 | Schedule sheet shape: (7, 9)
2025-09-14 00:34:44,297 | project_manager.excel | INFO | process_division_enhanced:638 | Processing Division A with 70 rows
2025-09-14 00:34:45,617 | project_manager.excel | INFO | process_division_enhanced:693 | Division A: 17 groups, 70 members
2025-09-14 00:34:45,617 | project_manager.excel | INFO | process_division_enhanced:638 | Processing Division B with 70 rows
2025-09-14 00:34:46,920 | project_manager.excel | INFO | process_division_enhanced:693 | Division B: 17 groups, 70 members
2025-09-14 00:34:46,926 | project_manager.excel | INFO | import_excel_to_db:817 | Import completed: 34 projects, 0 assignments
2025-09-14 00:34:46,926 | project_manager.excel | INFO | import_excel_to_db:818 | Projects with evaluators: 0 eval1, 0 eval2
2025-09-14 00:34:46,926 | project_manager.excel | INFO | import_excel_to_db:819 | Total scheduled groups: 0
2025-09-14 00:34:46,927 | project_manager.excel | INFO | wrapper:123 | EXIT import_excel_to_db - Success in 2.791s
2025-09-14 00:35:00,253 | project_manager.excel | INFO | wrapper:118 | ENTER import_excel_to_db - args: 0, kwargs: []
2025-09-14 00:35:00,254 | project_manager.excel | INFO | import_excel_to_db:585 | Starting Excel import process
2025-09-14 00:35:00,265 | project_manager.excel | INFO | import_excel_to_db:590 | Available sheets: ['FINAL  DIV A', 'FINAL  DIV B', 'SCHEDULE']
2025-09-14 00:35:00,265 | project_manager.excel | INFO | import_excel_to_db:601 | Found Division A sheet: FINAL  DIV A
2025-09-14 00:35:00,265 | project_manager.excel | INFO | import_excel_to_db:604 | Found Division B sheet: FINAL  DIV B
2025-09-14 00:35:00,265 | project_manager.excel | INFO | import_excel_to_db:607 | Found Schedule sheet: SCHEDULE
2025-09-14 00:35:00,309 | project_manager.excel | INFO | import_excel_to_db:619 | Schedule sheet columns: ['Unnamed: 0', 'Track', 'Name of the Panel', 'Group ID', 'Unnamed: 4', 'Unnamed: 5', 'Unnamed: 6', 'Unnamed: 7', 'Location']
2025-09-14 00:35:00,309 | project_manager.excel | INFO | import_excel_to_db:620 | Schedule sheet shape: (7, 9)
2025-09-14 00:35:00,391 | project_manager.excel | INFO | process_division_enhanced:638 | Processing Division A with 70 rows
2025-09-14 00:35:01,541 | project_manager.excel | INFO | process_division_enhanced:693 | Division A: 17 groups, 70 members
2025-09-14 00:35:01,541 | project_manager.excel | INFO | process_division_enhanced:638 | Processing Division B with 70 rows
2025-09-14 00:35:02,783 | project_manager.excel | INFO | process_division_enhanced:693 | Division B: 17 groups, 70 members
2025-09-14 00:35:02,794 | project_manager.excel | INFO | import_excel_to_db:817 | Import completed: 34 projects, 0 assignments
2025-09-14 00:35:02,794 | project_manager.excel | INFO | import_excel_to_db:818 | Projects with evaluators: 0 eval1, 0 eval2
2025-09-14 00:35:02,794 | project_manager.excel | INFO | import_excel_to_db:819 | Total scheduled groups: 0
2025-09-14 00:35:02,796 | project_manager.excel | INFO | wrapper:123 | EXIT import_excel_to_db - Success in 2.543s
2025-09-14 00:38:14,385 | project_manager.excel | INFO | wrapper:118 | ENTER import_excel_to_db - args: 0, kwargs: []
2025-09-14 00:38:14,386 | project_manager.excel | INFO | import_excel_to_db:570 | Starting Excel import process
2025-09-14 00:38:14,446 | project_manager.excel | INFO | import_excel_to_db:575 | Available sheets: ['FINAL  DIV A', 'FINAL  DIV B', 'SCHEDULE']
2025-09-14 00:38:14,447 | project_manager.excel | INFO | import_excel_to_db:586 | Found Division A sheet: FINAL  DIV A
2025-09-14 00:38:14,447 | project_manager.excel | INFO | import_excel_to_db:589 | Found Division B sheet: FINAL  DIV B
2025-09-14 00:38:14,447 | project_manager.excel | INFO | import_excel_to_db:592 | Found Schedule sheet: SCHEDULE
2025-09-14 00:38:14,464 | project_manager.excel | INFO | import_excel_to_db:604 | Schedule sheet columns: ['Unnamed: 0', 'Track', 'Name of the Panel', 'Group ID', 'Unnamed: 4', 'Unnamed: 5', 'Unnamed: 6', 'Unnamed: 7', 'Location']
2025-09-14 00:38:14,464 | project_manager.excel | INFO | import_excel_to_db:605 | Schedule sheet shape: (7, 9)
2025-09-14 00:38:14,537 | project_manager.excel | INFO | process_division_enhanced:623 | Processing Division A with 70 rows
2025-09-14 00:38:15,663 | project_manager.excel | INFO | process_division_enhanced:678 | Division A: 17 groups, 70 members
2025-09-14 00:38:15,663 | project_manager.excel | INFO | process_division_enhanced:623 | Processing Division B with 70 rows
2025-09-14 00:38:16,818 | project_manager.excel | INFO | process_division_enhanced:678 | Division B: 17 groups, 70 members
2025-09-14 00:38:16,828 | project_manager.excel | INFO | import_excel_to_db:802 | Import completed: 34 projects, 0 assignments
2025-09-14 00:38:16,828 | project_manager.excel | INFO | import_excel_to_db:803 | Projects with evaluators: 0 eval1, 0 eval2
2025-09-14 00:38:16,828 | project_manager.excel | INFO | import_excel_to_db:804 | Total scheduled groups: 0
2025-09-14 00:38:16,829 | project_manager.excel | INFO | wrapper:123 | EXIT import_excel_to_db - Success in 2.444s
